# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:12
# human 候选池（热钱包提币接收方，待探针筛活跃度）
# 全部接收方 2,316,827 个，按收到提币次数降序预排序取 15,000 个进探针
# 🔴 只按活动量筛，不看时间分布（反循环设计）
# 区块 42755201-50819862 | seed=42
address,source,note,n_from_cex
0xda7f08614e2f6dcc883ed7567fafb5e083b17294,base_cex_withdrawal,wd=208,208
0x32852d2d1a3ea3f0131c25db8f65e7eb6e6c844d,base_cex_withdrawal,wd=208,208
0x98e86bf5864064f32d5d564fba796f5b8317f12b,base_cex_withdrawal,wd=208,208
0x5b429f261953416ad2bb8aa76ce47725e09cd67e,base_cex_withdrawal,wd=208,208
0x75d661f5dfe5b1855d1d6a62088615c1f945cb59,base_cex_withdrawal,wd=208,208
0xdcd39221c9416d30de54a785e6055f3fa02c77ad,base_cex_withdrawal,wd=208,208
0x7edf8616a83488b741d7ca18284ad6ec45a7ca19,base_cex_withdrawal,wd=208,208
0x7138333bce12054c488f5bfca2f92bd84b2e8f87,base_cex_withdrawal,wd=208,208
0x106b9121d259fb46f1033bdbd29ad0c67650953c,base_cex_withdrawal,wd=208,208
0x5f396e58fe74114bed1abd213516c519012f0a05,base_cex_withdrawal,wd=207,207
0xc2c94abf0f2128591f85ca46d3b986beb9509a2b,base_cex_withdrawal,wd=207,207
0xc2e3be0e3147baf45b51f53b6a3c53e58b580bab,base_cex_withdrawal,wd=207,207
0x506d3565d0ae39e87fb48256a1e1fd90234d00a8,base_cex_withdrawal,wd=207,207
0x6926973edd05cfdbc714f1c2a0af0ec194f9ec9d,base_cex_withdrawal,wd=207,207
0xeec09b9cb90eeb8d9b4cde34d250ad54e9baf456,base_cex_withdrawal,wd=207,207
0x182db467327f1dafb82f87102baca028fffbd2b0,base_cex_withdrawal,wd=207,207
0x09322bd95ef32d9192c6dd3f58fa43446cfaa40d,base_cex_withdrawal,wd=207,207
0x4c3cb0d6273a27c68ab4b2f96db211d8d75e98da,base_cex_withdrawal,wd=207,207
0x693288c8f52752d921b03e8b0229c947f857d1f7,base_cex_withdrawal,wd=207,207
0xd35e45adbfbf05a3a8752a4526502173491fa030,base_cex_withdrawal,wd=207,207
0x02a92b339b133e273db2157f205c4a6d1698f4fb,base_cex_withdrawal,wd=207,207
0x5db73f13fe43b67f4941501d06dc1f61fa0d3b9b,base_cex_withdrawal,wd=206,206
0x9cb29fac809413b633bc74f9f4b7b2180078df91,base_cex_withdrawal,wd=206,206
0xfb9e92f8a64afe5484d2cfb8bb69bdc817a95eaf,base_cex_withdrawal,wd=206,206
0x16ec9e361f6b28fb9a9ca366d2a09c82d36b369a,base_cex_withdrawal,wd=206,206
0xf8f0c38467e61fd9926ad78b7eadaf13fe73f627,base_cex_withdrawal,wd=206,206
0x4394ca677633a52a2d598e109a8a6179f1ee9715,base_cex_withdrawal,wd=206,206
0xd740f387163e5e7a9d105b5e15f9383e2bb1afcf,base_cex_withdrawal,wd=206,206
0xb4823f5da6c37301c700c47517afc2a46ebd6c82,base_cex_withdrawal,wd=206,206
0xd81785d344b12794c559bd0bd739b6acf78c5879,base_cex_withdrawal,wd=206,206
0xb86fec7ab12823168934f22e930abef34066c7fa,base_cex_withdrawal,wd=206,206
0xecd5b452e399e78f852809cd8a03c472947a1a97,base_cex_withdrawal,wd=206,206
0x71b5fcc6bd31ae0c93a09122c603879b57f76ef9,base_cex_withdrawal,wd=206,206
0x3d52e7eccb674392101847568feb2cf0aae06d4d,base_cex_withdrawal,wd=206,206
0x3afbfbb1487e00e74acd27c8ca70f6b52be4941a,base_cex_withdrawal,wd=206,206
0xbe3809838d4ad70d1a57e9d4d8faf974e35e7caa,base_cex_withdrawal,wd=206,206
0x553936d4ca95430800d96bec0aa66a9d7458f2b3,base_cex_withdrawal,wd=206,206
0x6da691264088e6b19654fa900e4e4ee1e7e9a9a5,base_cex_withdrawal,wd=206,206
0x898cb1986dd94d1afc709ae88d3b97ec837756c3,base_cex_withdrawal,wd=206,206
0x91055773de5bdb5e1b5632d53b8e654a2e6048ba,base_cex_withdrawal,wd=205,205
0x8ddf1ab1d6cbdd7463e5fdda0ee3fd13f3e0bc1a,base_cex_withdrawal,wd=205,205
0xd91e117088135df19b8ffa01d6d95297a656f492,base_cex_withdrawal,wd=205,205
0xe5c4cd247ac11f4e20583b4d3357627f4411d9a4,base_cex_withdrawal,wd=205,205
0x389ee7e9c351e398f72851a82f58622b0850b23d,base_cex_withdrawal,wd=205,205
0xdf00878c03251e38ae37011f16c8722d99392cf3,base_cex_withdrawal,wd=205,205
0x5f52e583db488f091395e5a6dfa319a2fe051a54,base_cex_withdrawal,wd=205,205
0x04bc1aa976dae3c0f3914485c47751c568fdc710,base_cex_withdrawal,wd=205,205
0xc327c62072eb5e02dfb8eca6af050185707a7c01,base_cex_withdrawal,wd=205,205
0xec0ca44f18fe46b43695951821b222633cfdd246,base_cex_withdrawal,wd=205,205
0xae5b8d1e9890fedcf3adeae57340cd8ca8485e23,base_cex_withdrawal,wd=205,205
0x4188cb3e0ffa637b7b1a6edc0241e41cb9100daa,base_cex_withdrawal,wd=205,205
